piRNA_name,piRNA_id,N58,N60,N70,N82,N83,N84,N85,V1048,V108,V1090,V125,V1279,V1297,V1321,V1337,V1394,V1441,V1456,V148,V1505,V1528,V1565,V1591,V1592,V1699,V1708,V1742,V1776,V1788,V18,V1800,V1823,V1834,V1857,V1860,V1874,V1884,V1920,V1921,V2089,V2092,V2110,V2133,V221,V344,V359,V406,V456,V513,V538,V553,V574,V624,V630,V637,V655,V67,V712,V714,V716,V777,V806,V839,V883,V888,V940
hsa_piR_000753,DQ570940,8.71213887710359,9.549226539873962,9.426526942174881,8.088151796134795,7.874375730886491,7.154339352809655,8.154111789291461,9.936654073759138,7.432308545242729,8.020733815792575,10.860896867222596,7.467712310857255,7.407784627122364,5.856681695386769,8.286671739359369,6.2869778584157565,6.618233496344281,8.634076412259942,8.956635170062402,10.200654536918101,8.205131799372142,8.995531286132511,9.98119320448201,7.475937912449762,9.267594070139106,6.266246173118879,8.108698161347153,9.015251856430927,7.01900806416431,9.496171768451987,6.5500772770685645,10.700054849200178,7.812114851794666,13.451791907929259,7.48031514525742,8.415235800012441,7.406390933362629,10.63965192143302,11.888962354557496,8.291884441425422,8.430600925389689,8.212164624049013,11.476065039786405,6.066981964912745,7.648139763372923,8.92287079807716,7.762649737158858,7.612141447040432,8.344760681715918,8.10926134859791,10.572933684414856,10.128875577762658,6.973804177747802,7.926091616698112,8.756396715882797,10.751049203421953,7.503977015386553,10.65378650391664,10.116462656958937,10.13394018972636,7.721406495277445,8.723341027574604,9.590625472397097,7.637426944686787,8.365523257133335,9.356367636564377
hsa_piR_014620,DQ590013,7.779814726324032,7.201653205371779,6.346345338966934,11.443534192451269,11.834044058115978,10.422068215823922,13.047678135343796,9.14496445861857,8.626366793051696,6.0102452797529375,9.630731034644771,6.29963352109615,7.192350293431792,5.775683290278755,6.863850030217934,5.637152576996355,5.016479766216227,8.960150472426715,9.841800323974844,6.62911481203867,7.258596885433195,7.232447637306954,10.942228521334764,5.475081030928748,13.42631171492812,0.0,11.638836447370203,6.84917891157568,10.210011863749095,7.102609822095414,5.360690809600968,11.984700589093794,6.269910258376793,10.333042786976513,7.592183797538451,6.531862139997576,7.294605561558726,6.829486828271498,7.600393814506681,7.4082666731136895,10.335899759132566,8.093285015653457,9.36654316468793,5.200553988317508,7.433570620577539,12.067815145295882,7.762649737158858,6.493098860540011,7.55580896594119,5.865944632960937,8.763170550241275,9.852734218768163,6.82819200623271,5.818823250693883,6.742744515734201,9.167759966302182,12.324259147043106,7.046096421642551,7.49569124111234,7.090810703239305,5.9310410460742915,10.96688372424484,8.009400426275736,10.753227351123694,10.238465457610914,12.023538247015965
hsa_piR_018573,DQ595539,8.624891020313612,9.598071951545302,8.502413194224408,8.39607970021659,6.964699966266054,7.807741677107867,8.010254893774412,8.949783529692313,6.835171826185973,7.383377196489907,10.669491812555675,7.131066196108742,7.837301978308224,5.5012074127595785,8.838797023937127,5.493413737905708,6.311413589419748,8.11057870348176,8.382555701990078,10.256750822342443,9.177637404200835,9.197267168194674,9.796277199484086,7.59659052192143,8.568616565029094,4.9977988996834535,7.493361675617037,8.63993363895831,7.16678049568756,9.783543680728533,6.62523638135232,10.344535670830007,8.233174680938054,13.30699555843306,7.662217056744459,8.70946085130873,9.217909699800641,11.214569063625051,11.588391015142985,9.135670002486663,8.081805804368948,9.402070642981073,11.090842580810044,6.23451393376919,8.000212372536534,7.9560902902906925,7.719132754601862,7.562647118636304,8.68592952085199,7.917362432911599,10.96729748396185,11.58412126292622,7.408916121420382,8.33095518743406,10.878368480961992,10.653527421194019,6.965073614841576,9.741086541518431,10.58259258939898,8.39568002887463,7.119247621372476,7.521346936407194,9.038957388532593,7.236406679519224,7.970017611240087,9.127927199613547
hsa_piR_019324,DQ596538,6.986292638691231,8.599932268504784,7.628594855600856,6.425946335312257,5.555271993669959,0.0,7.350550300706562,9.061458664248917,6.784996940398909,9.925356601917548,9.29059139866051,6.632847925908847,6.382710414664656,0.0,7.4237379313342355,5.020740464032304,5.677739533337826,8.001366236491142,8.908478764960757,8.529837534617368,6.418117542971895,8.449347442256974,8.81493422739316,6.2391104222591744,7.6973105004228195,0.0,6.166753467742496,8.407905640916816,6.85435400323704,8.045079292068179,0.0,8.614216043007557,6.269910258376793,11.940190385744463,6.5996410110424115,5.254911352175443,0.0,9.581131045486108,10.089675998759411,7.83902249461152,6.73953857822875,6.996244089539344,9.035901163237147,0.0,7.667940795677931,7.374029712415508,6.407438392141043,6.325174484925277,6.847011974880631,0.0,9.358149324953857,8.252913760654225,6.347834860071029,6.46838433811303,7.7830805463981445,8.56572080815849,6.401284555040548,8.719742097409734,7.9360963925521855,6.588300041745636,5.615012313129974,7.6614787959618145,8.009400426275736,7.236406679519224,6.825029942909239,9.553532145383395
hsa_piR_001169,DQ571525,5.569474749080261,0.0,6.606421540550385,5.631121264337398,5.935057910397611,6.628318756150698,5.896620356469794,7.323629237328065,5.322928290227756,0.0,6.1077253563166405,0.0,0.0,0.0,6.253769742274218,0.0,0.0,0.0,0.0,6.934431473414814,6.814559839889142,9.765626415774332,7.167295870995844,0.0,5.594973133931035,0.0,6.467777916484087,5.69481115013962,5.900945421481218,10.18481255640311,0.0,6.932077263897442,0.0,5.878608318499481,7.080811294420817,8.719285192182284,0.0,0.0,9.307936525841887,5.804310757930675,6.125301804574446,6.3354514769880765,9.438586333488233,5.200553988317508,6.34682066869333,7.502567077949744,0.0,0.0,8.078558898545147,0.0,6.669749983110557,9.598933407176034,0.0,0.0,10.495744296173218,6.6309862531078245,6.0370204941911645,8.269303640370868,7.420174413875663,7.6898568062147765,0.0,6.634977442623647,7.139589551929366,5.75893342759271,0.0,7.592273340933371
hsa_piR_016659,DQ592932,13.653236520084088,13.900490091327477,13.07820553301124,13.510730407939654,13.105913907935726,13.47797398062726,13.391061211417108,15.676566110347252,13.040818691728099,13.654774139818244,13.396034786967391,12.642678592240678,14.21743843499375,13.339501738578253,12.528990788841877,12.896143005954496,11.670699003724327,14.244725610884633,15.833900582355142,14.150005469337023,17.045735620989003,13.561420406297728,14.556897853411616,12.37918487147819,15.564969560304839,12.126718580748815,15.781901163056265,12.87144986992356,14.259140114435082,12.585687851764593,12.425412803222454,14.127531061862578,12.615456863411298,13.261594779306387,12.394884609677067,11.77986531024312,13.95292513818322,12.006920760316797,12.553826019087237,13.85845732625282,14.073457437378217,13.661098209637716,17.68958172016571,12.694774214299757,13.323284776925771,14.367838051846492,13.886291924457044,12.832786759584875,14.281084835228587,13.852876816457991,18.378684136771348,13.800548109990219,14.087652039509814,12.761455548809904,11.126745521649859,18.08228664722486,14.788208042656127,15.321213404842943,14.450561642815055,15.197244366555228,12.47502866206431,14.5979986016604,14.760550522351998,15.072743841478527,14.45108464389744,16.705029228892606
hsa_piR_001356,DQ571873,5.079577757583665,5.459450652506679,5.621152275257922,0.0,0.0,0.0,0.0,7.0907524415075365,0.0,0.0,7.979903184593531,0.0,0.0,0.0,0.0,0.0,0.0,6.668936554641783,5.54440499031731,7.813538001299397,5.5948111645207685,6.856811288263778,6.8741193200517134,0.0,5.831381861460089,0.0,5.415207749699416,5.437336535202747,0.0,7.068100411939378,0.0,7.637968829708767,0.0,9.648233547637508,0.0,6.235895419066504,0.0,7.2667173654929655,10.117801454810406,0.0,0.0,9.479960918887803,8.253613524596322,0.0,5.953900133438018,5.8499699163147305,0.0,0.0,0.0,0.0,8.315397438932552,8.863207550645132,0.0,0.0,8.318698149118742,7.7262786409454005,4.804422200547966,6.995860175160203,6.389509967642942,6.861324586381569,0.0,7.789196306017935,0.0,0.0,5.413541375595779,6.944462363580652
hsa_piR_016735,DQ593039,13.596400227431927,11.374026482792981,13.54972847775903,11.474639264205539,13.30273262904129,10.444771862160396,13.422780305996646,14.69878521380021,13.852579621316105,13.657501656769474,12.338649634807847,13.41332629442402,11.706445949851446,10.605083956212049,15.42096833651958,13.08376871436374,12.430077682436998,14.316774367575462,16.711175818306078,12.76828472352251,13.1111526803062,18.069984790347505,16.10528697079384,11.685207891798218,12.173126890940555,11.454456408767618,11.685215035897476,13.790478347191655,14.998791043312497,12.603870384338542,11.112066849610775,13.543052527464857,11.888097586249351,14.342073121489284,14.194682224589444,12.824154754522553,11.34093245385963,14.891316882724366,15.011773805768325,12.649797578957758,15.792492134195648,12.801018267908585,13.856306317436133,13.874326316938104,15.148764042163853,11.937426897293493,11.069951523107642,11.526725760705665,15.415508192430158,12.062434041020209,12.63187140263235,16.4739228876316,12.082558520318212,13.544524338579448,14.809278310811255,13.62562496012908,14.991011481980543,13.335275343101303,15.63366850835277,12.800222953872595,13.976604357417925,15.857337555146515,13.945329883731265,14.641992122262703,11.463014243024794,14.645530070286187
hsa_piR_020490,DQ598167,8.421305675080355,9.65304363096995,8.534035567452618,8.360996009918171,6.483885852395229,7.580576074789222,8.601741507105288,9.609224904822257,7.699378300953992,7.383377196489907,11.35773077259244,7.3276854525585025,6.51245071255846,5.161945156337543,8.005896887941981,5.637152576996355,6.253276601860987,9.176557617000269,8.29536301584973,10.690626881403164,8.988952323160374,9.494010562113504,10.414620911126855,7.7291992218775265,9.247307287176707,4.9977988996834535,7.793505905533669,8.967252078079145,6.782843477509887,10.168616334607776,6.861170479063769,10.788028264384744,7.61601712167357,13.156510346569744,6.6693217865186805,8.04521971807435,9.335556158575656,10.71069154211339,12.540900717313889,8.541130166455545,8.163972108413518,8.905448764653116,10.854520172977244,5.73559890289929,8.217327275621514,9.187961020278507,7.555572031219048,7.706310067118755,8.217790944650215,8.224336626437655,10.30051021696808,11.150247732361398,7.265419539125029,7.530213977815037,9.217063061286503,9.58444818700195,8.26749734661079,10.2868370713856,10.163533497386915,8.867551547683897,7.349035029917708,9.745452046953272,9.327965248026665,8.426557245990939,8.062767353823904,9.799391543073181
hsa_piR_019420,DQ596670,11.358746971558727,10.454113082996036,9.285015235368654,10.792352127614365,10.454205573767503,9.543702771916227,11.052021290693318,9.827145798008909,9.40956636562688,9.592897687516698,9.494645601462643,9.574326693678323,9.16533826658981,9.203251281209388,10.149297956041037,9.310582615298996,10.297881396877653,9.644419070960707,9.126237496927594,9.527884537917785,9.830339345982889,9.944508993562591,9.652058076022172,10.613122489271984,9.195306048168472,9.718208007295203,9.270858719257308,9.458814737960434,7.7945728203273585,13.763592621448245,9.122152480528134,10.912742281643041,9.845118728651215,11.485816655288927,9.242423558351291,10.117397973401905,9.009472947958965,10.368034773916666,10.250748582456712,9.124801116978398,9.653765397520107,9.972914944317528,9.710033886315367,10.713862579015123,8.257087793747061,9.262475098405078,8.902373460800487,9.618759629508704,9.1238946304877,9.53224187627415,9.535199606889897,9.441196284893088,8.503917083680527,9.827467706003754,11.112989804361067,8.941222115819391,10.507724799333545,10.70940064931266,9.5351358274425,8.882948729383278,8.317720415716073,9.076235747738602,9.274610695924027,9.90347476737365,9.157921540722752,8.555450752219475
