TE,N54,N58,N60,N70,N82,N83,N84,N85,N86,N87,NV1428,NV911,NV912,V1048,V108,V1090,V125,V1279,V1297,V1321,V1337,V1394,V1422,V1441,V1456,V148,V1505,V1528,V1565,V1591,V1592,V1699,V1708,V1742,V1776,V1788,V18,V1800,V1823,V1834,V1857,V1860,V1874,V1884,V1920,V1921,V2089,V2092,V2110,V2133,V221,V2241,V344,V359,V406,V456,V513,V538,V553,V574,V624,V630,V637,V655,V67,V712,V714,V716,V777,V806,V839,V883,V888,V940
LTR47B2,2.978345602983422,2.8070844367315075,3.2933954756016632,2.022144605758266,2.410720821909351,2.4444780287962704,1.9875115969311954,1.8759666419256982,2.7363026523555205,2.48262710735819,2.3785135614754656,1.7543033166179742,1.9852593958000384,2.1671409576332126,3.3226315847545607,2.223577494323088,2.9991071625708234,2.453813330530734,3.93274288531158,2.5658697035559723,2.933011055651125,2.044912721195802,2.5506338518826843,2.384852123628752,1.984688393650516,1.8963144045860356,2.298912337393271,1.573759329193593,2.060718729721498,2.9169171132779668,2.441969822334509,2.791735717553273,2.7022751341467814,1.844972026355804,2.402799319666849,2.511446105050721,1.734947782434331,1.8117235303652817,1.550107171438962,4.168136698161805,4.6123839174757695,2.2910588618753867,2.45313711830464,2.3994734923678793,3.331337890321521,1.862876575007544,1.6501310205943558,3.1801404662830475,2.1752977194051377,4.618867371890334,2.8183923932138746,2.630168432468322,2.490623049731665,2.7602665745106743,3.283937997357208,2.7101627761937745,2.866146756158284,3.0504736328863484,3.468249941605244,2.883991580706501,1.7199091087781213,1.8682980508072327,1.2434720291402814,3.930083324303086,2.3310204233754326,3.1218718391925164,3.0369468325976197,3.178006489273524,2.5830830573349925,2.1458474437251907,2.5450166810510564,2.1587882397842417,1.1609016374154015,2.4584369071020578
LTR59,3.0806681171016472,1.84215720843343,3.1251317585996876,2.009742718149949,1.665348981927642,2.8514805054498478,2.586001379548122,2.345244334667386,1.4985406939213082,1.5177541504616519,2.5229817247027406,2.332042552224902,2.6979380983873535,2.9664927148736004,2.6023299616873374,2.245252583486842,2.3223580495929146,2.9076591116788344,3.537535705638588,1.8577188239515345,2.761905425186265,2.6421594040096053,3.330343950710885,2.07637113357548,1.8993848204996204,2.60244689474633,2.452553058693713,1.9873902951614042,1.1710354328451282,2.9642724140867203,2.5730039570697083,2.3934064811810103,3.574909755954892,2.0712307860071113,2.470025210782689,1.687829650813544,1.8105678351161023,1.3297156306576037,2.05883145192735,3.2991583193614664,4.371792085115397,2.6348896030306426,2.4054107852798596,2.4963912733954823,2.465994059766059,2.495752429155435,0.8917680100882606,3.6839709324713468,2.610251739803115,4.9082951986479895,3.532818486794876,3.1544953106099767,2.2570615246215056,2.1100381572427125,2.8263622665420227,2.9794910217695176,2.3456681897609766,3.033667397633759,2.138305281914687,4.028977593586386,2.1665191533080663,2.480013765373818,1.9012446545895498,3.951089632585709,2.5529603281840916,2.629604355805527,2.1111600726381607,3.621109469514208,1.933712931748507,2.572989970579012,3.052916135190887,2.6458263641180597,1.8732540563908298,3.2824560371224947
MER66B,3.204289645589069,2.4679116926979052,3.4883095332509186,1.883090826984807,2.3558661928810567,2.3351080734669427,2.2616478844404657,0.8997127286309421,0.6854475825470613,0.5628233171252708,1.6584198090428097,1.0481499675428252,1.5057287787139266,2.4607571065962346,2.7106124665469524,2.8124260081418675,2.602094891328999,2.8036314266352855,1.950149194934871,2.8712420205174296,0.8232069271552802,1.2807305809147025,1.4543732003594956,2.5513360630066484,0.9910864635058627,2.6687685616339785,2.0984786665278916,1.4586309295954651,1.7197636112558385,1.6403795214399723,3.070155051588691,2.392577322864843,3.1926727702674014,1.4306912457396639,2.204838596765285,1.0996692131706949,2.048720003928059,1.5966404734536013,1.6245818576813436,3.2892549699449978,3.920816904993334,1.9878370299822414,2.5338436994793985,0.8778860175406331,2.419367792750737,1.9637486955660046,0.8184269671510749,2.5859308900202365,2.262480639116048,3.624637040679955,3.5351722222989426,1.8156302927694814,1.8458407794870912,2.298446401573881,0.6305806665252857,2.3105809618928954,1.7143349977370785,1.202940657013767,2.9224978510789894,2.629915002962134,1.9853127445686167,2.202331469507028,1.4349721283625412,2.220013460382807,1.5694620507224917,3.163263265493972,3.3824750968390274,3.6558565705251245,2.729965709128002,1.176039096018984,2.4793394307685803,2.1349688772854396,2.1093290599969925,2.666249558482031
HERVH,11.504420373469609,10.681125777169846,11.556135132795214,10.468741710502133,11.28622058285104,11.19549120835755,10.782666288646652,10.745676431482496,10.703631411341215,10.550798300940595,10.763057476502244,10.00705633585352,10.855443770249176,10.66663536406454,11.777887255679964,11.110433913038039,11.552648116145805,11.42038008795961,11.958591613369942,11.028101699260981,11.000800908027829,10.300559750371164,11.06430669219168,10.341218986825913,10.69036692174506,10.844385225962425,10.630770199077633,10.480776549997934,10.368053217010647,11.21368182825737,11.129972119544286,10.999970103714814,11.185803327003635,10.580554228440581,11.086570731631387,10.019055739974513,9.934436718248977,10.34054524478847,10.09623755887484,12.40860359567202,13.496079600111923,10.852164040974722,10.595493812161848,10.689777777388084,11.74251612890206,10.879619834045059,9.634550198488572,12.146525236543646,11.053172262024143,13.576620171849404,10.981873532034768,11.020918971058245,10.543096150531186,10.83234706964572,11.36432681409793,11.292250040770384,10.93835160300624,11.534521629844951,11.162065829389304,11.022932713310155,10.689287618716456,10.656876041665157,10.349165971251331,11.972127913722183,10.142688938760742,11.860848290809297,11.334046098973742,11.806624955833106,11.140515812499835,10.71547501942347,11.344981599515789,10.993925973193436,10.749556453212941,11.025515641422187
LTR62,4.515458599748602,3.8228289648250784,4.701096889021613,3.5504759560923347,3.5599198334230833,3.7755884109234663,2.793073603793824,2.809119697572902,2.3442021032202853,2.8044333519624107,3.64325081895674,3.021639791676084,3.1812493644116873,3.1261121911663245,4.000732794501927,3.7766917294472804,3.905938216033308,4.083646914326898,4.588174937732367,3.4862978615347737,3.8841763694140945,3.088066841982864,3.2687448044602547,3.492574064678134,3.1912265990039526,3.6714354593196643,3.0564015403376126,3.1549680228362478,3.6180051012298993,3.3679908810811225,3.9572752035738756,3.3461145367043588,4.26884282927982,3.299371124268925,3.5036450066900375,3.037312002314625,3.289437804523515,2.8778183515634885,1.769977404292223,4.659938134095691,5.750647283224615,3.5792166078745784,3.5809096255673016,3.379542329805581,4.131843861250453,3.468553889672449,2.6820880306959003,4.641630527662053,3.5298670207136165,6.064878787054113,4.240167124788606,3.370690042291815,2.987377121800702,3.7534503443985128,4.03555710596408,3.68301181070137,3.330452090025177,3.886468131097282,3.733858832347771,4.177468700929543,3.4717452710083956,3.082540041341683,3.5779016153027974,4.741978632407834,2.4422195729861103,4.8545556258485165,4.824183505441782,5.236322678819192,3.94018713671523,2.9329961518005843,3.8242660182645096,3.1165939300674976,3.5242838273114523,4.194591817316769
LTR1C3,2.4391932619086067,2.4891254722474137,2.5366185383633835,1.5044286525664514,2.3711501148469227,1.8233503138842269,2.973337923989724,2.3235752858393397,1.1319738143054647,2.067792669017379,2.3785135614754656,1.277496938549502,1.7745348781841987,1.319780877772719,2.124984684650573,1.9348798206139233,2.0205503355009258,1.695687207427745,3.0981861220896283,2.215763351939427,2.564699117835115,0.7007030316016675,0.855845732645815,1.9317848483195759,1.8919210186479871,3.223112434506077,1.5006682973072023,1.4884216912714665,1.933384941793209,1.5926813837696132,1.5707503564359009,2.1738586172861982,2.6456782657261555,1.598592846202052,2.534257523276854,1.8735839006776982,1.3852428475257363,1.0241653214548,1.6642268353073653,2.885335539550142,3.878704170855192,2.934122406947441,2.123348943118983,1.717978840414548,2.4950793567725422,2.473884051684159,1.5830600905000167,3.045437455020282,2.1244082900016052,4.213829734978644,1.5071342367317262,2.6669236197353934,2.2570615246215056,1.8547942757848064,1.8895794532873869,2.178864786928558,2.237781476031272,1.496313909581796,2.626099559161116,1.4974330762694923,1.7321350715476163,2.2797754010163596,1.2434720291402814,3.2350511653420795,2.6194605708260883,2.617481266186052,3.5889107174118258,2.8594486574731914,2.007589603427399,2.6672965839739,1.7731838119253645,1.989262463711034,1.3476452832467931,1.9717866707178444
ERV3-16A3_I,3.2257809033130593,2.899199849947307,3.2332715160631116,2.316271167883433,2.2009540022096563,1.6396261600296624,1.8459250310714659,1.689476097666159,2.0606071238170713,1.4832362044492358,1.7788742463033875,1.649049896627599,2.2529093369277025,1.4571541643837715,2.8080249201847933,2.670065139994046,2.9292114834669065,2.378153418863913,3.0563357994109257,2.772400173435978,2.503476008835027,1.8912708889549137,1.777980660694687,1.4904756090733153,1.4464504241119596,3.0852847593535198,0.8352557314843416,1.7953481851288304,1.7937149527803387,2.0086808460887333,2.441969822334509,1.639666115533202,2.3236634574793182,1.7823927104284631,1.3297043263601325,2.047750859335292,1.882420834082902,2.517492987795587,1.140937687331741,2.297534041858272,3.202949209515375,2.491674912326013,2.1956136065877616,2.3027627822944616,3.019727991156198,1.6589238017316723,1.6501310205943558,2.7570161641804103,1.9119568395273854,3.284697217894133,2.3816463476734873,1.8461889428756448,2.053160198475308,2.31649958047552,3.3443037536585867,2.468834298401862,2.7084551446594265,2.692344420618128,3.1874326904275296,2.285320269870368,2.5962540200946274,2.4163064483394523,0.0,2.753801735478314,2.0085257336676485,3.535381579925715,2.8086463608546506,4.301750358692994,2.400507669014264,2.2140055616710232,2.843888104388872,2.076513964115794,1.795743054009974,2.2695651648516075
LTR7A,8.929595711336576,8.363971594920057,9.115033625413053,8.178602839524311,8.393486751340014,8.543287144572915,8.167116954942346,8.07759558462338,7.8713461984417865,7.956525448190202,8.201857530150145,7.689345714660427,8.532366835876724,8.116748058934254,8.884672897712408,8.572368894422397,8.848990335874792,8.858259613608567,8.920117360127149,8.655323458793374,8.389402385443793,7.749153747201372,8.013261875564167,7.966367303784869,8.016638123551946,8.447887306885896,7.934977459434991,7.865067085051406,8.17987812442352,8.336101332917044,8.51781653534866,8.275422590447358,8.682487951236064,8.124090507558655,8.3501624605109,7.49913533439126,7.328347945248613,8.036391018078284,7.64325860249097,9.345258207949076,10.495987643531874,8.185140388115187,8.079347274255513,7.89523605699684,9.008312988270717,8.224698419507014,7.5423017414244145,9.525366172232502,8.388696759551511,11.136126435144687,8.315131437263934,8.36931162956864,8.027917610501481,8.333543552304203,8.419701615796443,8.620993488794657,8.255155983740849,8.807112936360989,8.659627836343876,8.461055204759193,8.148512610504484,8.040768228690965,7.087038946026975,9.487913720228233,7.940899907785077,9.138081724385268,8.639210833057659,9.090500092573931,8.59159563545534,8.021306751851029,8.579588024140998,8.283189277044011,8.329477588928285,8.194798962390355
MER92B,2.4391932619086067,1.8228958569184597,2.4859882574952206,1.0507837874829393,1.8633084088583793,1.4290431387507962,1.6889158088363352,1.7857326208772366,1.491777821440125,1.2610467583438494,1.8689379869712974,0.963069713024227,1.6563801926318702,1.9042657848285296,1.8986923550348629,2.1336145866431884,2.257345123762568,2.1239863639528496,1.8324849966709422,1.7525034322312598,2.2287377497259726,1.5240084157583698,1.8872905101658741,1.0039283562833634,1.571360231020682,1.2395843412151906,1.8535609408113423,0.9916057879330328,1.718458613383989,2.1789263593928943,1.6856781470412088,2.0855731682776044,2.249640055864143,1.4208725709173142,2.534257523276854,1.7445730251264013,1.282754367274117,1.4710305014603642,0.7850448149878961,2.559543022697766,3.3187403264673914,1.6737646323187807,1.591787141253863,1.7632497638927114,1.6475650201948966,1.9549698876926793,1.6501310205943558,1.912567121571836,1.4638289658454098,3.855231443126199,0.8396539358835033,1.62123985629014,0.7048968453214679,1.0605923195877032,0.8737276849598928,2.2570013099165083,1.9138398680974282,2.2148768681963267,2.168526407865885,2.47469503234732,1.5035142269265327,1.4260018396953926,0.9349198269554799,2.9739495946929577,1.2696698813904117,2.4580355353127112,2.869196744275959,2.6420598468420797,1.1755507605101303,1.4397617933012077,2.0786437286593116,0.99285052937968,1.5129635340644667,1.0868192826932503
LTR44,3.022645270219802,1.8228958569184597,3.036224030810854,2.2247336079856286,2.2009540022096563,2.4994943162542196,2.0534135720920923,2.189234041106227,1.9800523776542427,1.763129177560816,1.3490090866147815,1.277496938549502,2.2529093369277025,1.8047983486246866,2.185034282173228,2.308258304534957,2.8929513483802003,2.1239863639528496,2.5253351193634894,2.772400173435978,2.3024807354252363,2.1160037962912046,1.38936789496728,1.4904756090733153,2.982120585306126,2.7981975667677625,2.4445739258917283,2.074604782241165,1.4658122486272704,2.8679545051556694,2.0711488169630257,1.5728288734135936,3.001897945865806,1.7169753413239839,2.33228711700363,1.7445730251264013,1.480931009424815,1.9282682719767676,1.2905964380362767,2.6965802031291046,3.0325139756220887,1.6737646323187807,1.591787141253863,2.3027627822944616,2.187474268336601,2.343652558414063,1.1910400847310099,2.8974655908841656,1.4638289658454098,4.208710246684173,1.752261513565327,2.5683808356965785,3.0618328617670962,1.7452545494047706,1.5224980420582577,2.0086214594939866,2.5928568130443153,2.293544772187944,2.9206367972419818,2.5884082352944824,2.421936195417406,2.6558171490871394,0.9349198269554799,3.8790866570378038,1.6858890821914003,2.8916081282565362,3.447624644579534,3.3989433008798087,1.9143119742277686,2.3413614917610817,2.1676065477419537,2.076513964115794,1.6612706063589895,1.886638128658863
