GENE_NAME,V1884,N58,V630,N60,V1297,NV1428,N82,V940,V2092,V624,V777,V553,V1441,V1921,V538,V1857,V456,NV912,V2089,V1823,V2241,N54,V655,V2110,V839,V125,N83,V637,V712,NV911,V2133,V1742,V1591,V108,V1874,V221,V148,N70,N87,V574,V359,V1337,V883,V1592,V1422,V1708,V1505,V18,V1788,V1776,N84,V1800,V716,N86,V888,V1321,V1279,V1528,V344,N85,V1699,V1456,V1394,V714,V67,V1090,V1860,V406,V1834,V1048,V806,V513,V1565,V1920
MIR548O,9,3,0,0,3,3,8,0,3,0,0,7,0,3,0,3,2,0,5,0,0,1,2,4,0,0,0,0,0,3,6,0,4,0,5,3,2,2,2,5,9,10,0,6,0,0,3,2,9,6,0,1,6,2,6,2,5,3,0,4,3,0,2,0,0,0,0,5,6,0,0,3,1,2
MIR6835,34,24,20,14,62,12,18,26,17,32,15,31,20,25,14,5,15,13,36,15,23,33,22,28,24,32,31,6,26,15,8,19,24,30,13,28,30,16,20,32,39,33,18,16,27,23,23,33,62,26,27,24,58,24,32,7,30,22,33,24,36,40,19,22,13,34,30,44,29,32,28,37,50,33
MIR3175,142,24,40,27,67,62,93,44,66,47,34,93,65,58,53,27,73,72,67,63,65,33,39,108,42,51,102,44,38,102,13,120,67,71,44,88,60,58,121,52,102,62,44,40,49,62,37,79,80,80,76,72,60,78,112,61,40,65,72,88,113,25,30,18,43,67,84,118,74,53,38,40,50,79
MIR331,5,0,8,1,3,2,3,2,2,1,5,3,5,5,1,5,1,5,4,4,0,1,2,3,7,6,15,10,1,3,1,3,4,4,5,9,2,6,0,0,8,6,0,4,3,5,2,0,2,1,1,10,2,1,6,6,5,0,3,0,4,7,0,1,3,12,11,9,8,3,4,2,5,15
MIR500B,0,0,0,0,3,2,0,1,1,0,2,3,0,0,1,0,1,2,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,1,0,0,0,3,0,0,0,0,0,0
MIR6770-2,3,2,2,6,4,1,2,3,1,1,2,2,1,2,2,3,1,4,1,2,1,2,2,2,4,4,4,3,2,5,2,2,10,2,2,5,3,3,3,4,4,3,5,2,1,3,4,3,3,1,3,1,3,3,3,4,5,3,3,2,2,5,1,2,1,2,2,3,2,2,2,3,1,3
MIR548Y,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
MIR3154,3,2,0,0,1,0,0,0,0,0,0,4,0,0,0,2,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,4,0,0,0,5,0,0,1,0,0,0,0,2,0,0,4,0,2,1,3,0,2,1,0,0,0,0,3,0,0,2,2,1,1,0,3,0,0,4,0,0
MIR3687-2,3942,5182,4585,9941,9635,3032,7934,1362,2417,3455,5120,10047,4152,4802,6933,3065,4414,5137,4769,1384,2486,3982,4098,1384,5040,6984,5597,40749,2977,6451,2741,9971,6998,5031,3693,696,5509,8119,4445,4046,12582,3254,1419,6466,13373,1450,1989,5127,6162,3792,3666,2684,8647,4024,6155,6928,3309,3039,6340,5346,8705,2621,2515,8070,6860,3480,2085,12462,5069,2268,4157,4549,1751,3125
MIR6758,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MIR548H5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR4457,1,1,0,0,0,0,0,1,1,0,0,2,0,2,0,1,0,0,5,0,0,4,3,0,0,3,4,0,2,0,6,0,0,0,0,0,10,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,4,0,3,0,0,0,2,0,4,0,0,1,0,0,0,0,0,0,0,2,0,0
MIR4456,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
MIR346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR429,2,0,0,0,2,0,0,1,0,0,0,0,3,0,0,4,0,0,0,0,0,3,4,0,0,3,0,0,1,0,3,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1
MIR1286,2,2,0,0,0,1,0,0,2,2,0,0,0,1,1,1,3,0,3,0,0,3,1,1,2,3,1,7,3,0,2,1,0,5,0,0,0,1,0,0,2,3,0,0,1,5,2,4,0,0,0,0,1,0,0,1,2,0,8,0,3,1,0,0,2,6,0,2,2,2,0,0,0,4
