GENE_NAME,V888,V108,V2089,V1279,V1090,V777,N85,V839,V1565,V637,V1505,V1834,V67,V1441,V1920,V1857,V630,V456,N84,N60,V1394,V1048,V18,N83,V538,V1742,V1884,V1297,V125,V1921,V1776,V1860,V940,N82,V148,V1456,V2092,V714,V1337,V553,V406,V1788,V2133,V1874,V221,N58,V1591,V2110,V574,V716,N70,V1321,V1800,V806,V513,V1592,V1528,V1823,V344,V1708,V359,V712,V883,V655,V1699,V624
RTN3,6839,7631,4894,10710,10401,5730,8108,11657,9247,2684,10162,5350,9609,17064,5716,3612,7583,7056,14061,12233,8028,8958,5134,5855,6130,7458,7816,4668,6209,4487,12248,5726,14413,9962,4131,6087,7832,6259,5031,4830,9978,12809,2083,18491,8157,6826,15399,9423,10056,8819,7842,4454,12321,9190,12465,8069,10628,6713,11851,5800,11404,8064,8747,4506,5183,10716
HIST2H4B,14363,771,2777,7627,5530,3037,9033,2275,2372,842,9918,2044,10990,1759,3270,3620,10276,598,1596,8251,9553,31168,10717,9132,1829,18616,8079,6861,10886,1289,7245,29107,9703,2226,2236,31136,12816,4810,21661,4852,4901,1512,4868,1110,1071,21768,10867,10597,1751,1202,11390,6704,5852,11144,6800,4948,9418,21047,1349,10174,13444,2441,9474,4221,1613,1700
TBRG4,5789,2710,5029,3457,4083,4218,3119,4999,11247,1754,4322,1854,6288,5220,4352,769,4823,1892,4903,3853,5282,5654,8756,4145,3023,5772,3088,2279,4985,2962,3729,3710,3776,2945,3547,4876,2669,4843,3094,3981,4978,8539,1145,6401,3873,4786,4852,3463,3318,2461,4947,3158,4789,4592,4170,5406,4777,3687,4190,3744,5514,2945,4049,1865,4930,4915
CLUH,16234,5533,12515,10588,8234,5595,6981,6603,11082,2940,10176,2828,12435,7679,6595,1441,9190,2945,10219,10562,7173,12589,22027,8498,4406,17796,8111,1952,14824,6622,7582,7727,11935,5588,6076,14090,7743,10576,6355,7086,8985,8188,2307,8516,6423,12975,12294,11948,6809,8879,7445,5849,10491,11659,8247,7070,9114,10917,5548,7322,18121,4068,12791,3023,13025,9944
VWDE,3237,90,354,4659,3690,3074,1980,4047,3554,901,5852,177,1653,1986,4987,837,1604,3164,1874,2037,2277,3855,8535,5357,3539,1589,783,3225,3098,2519,2227,2940,3353,3275,1600,1245,1143,2829,537,52,4428,3639,495,3917,4720,3567,4695,3900,2970,2468,3609,2291,477,2581,4702,5222,4513,2305,1724,4319,3683,4617,3746,71,2395,3390
HLA-DQB1,1772,2460,167,871,2226,13911,5599,13588,37,1177,1562,10291,8,4266,40,807,18609,907,1071,2399,2992,2661,3499,14271,1324,29,39680,2766,5467,447,7143,4203,2530,10090,44,3644,5192,6767,4439,25,6726,588,1679,6871,8409,3126,1983,5348,3187,4828,16161,12151,30361,8,10350,11797,1940,3137,547,5185,9252,8831,0,1046,4,3516
KAT2A,7282,5706,3424,5515,10252,5396,4098,5434,12187,1775,4218,3219,8741,5315,8219,1036,8690,6321,5482,5316,6528,6332,10218,7305,6321,5617,5183,3823,9005,4006,4555,5061,4882,4122,7408,5326,2379,6451,3356,5571,8432,6238,1069,7719,6152,6988,4456,4522,5764,6344,4310,7257,7285,6923,3710,7063,4247,2568,7402,7731,5967,5753,6537,2958,8649,7241
DUS1L,6783,3036,5584,4089,3533,2770,4396,3377,11517,1473,4673,2592,5822,3403,4373,871,4624,1907,5373,4115,3953,5795,8680,5295,2973,6054,4133,2346,6373,3132,3715,4682,5048,3859,5220,4788,3074,3854,3376,3547,3770,5365,1052,4757,3074,5569,5030,4839,4497,3846,4109,3455,5139,5432,4124,3797,4298,4512,4212,4011,7294,2472,5463,3095,7365,5343
KCNH2,12369,206,1878,3773,2571,131,1177,2907,18330,805,15723,418,8588,1245,893,695,2289,85,3495,4500,6699,25195,43277,1074,733,20280,2175,1666,8752,2249,4538,3689,14243,2271,1785,7566,6637,1155,2900,967,3376,8375,1927,593,1118,11825,14150,21683,5065,4837,3956,822,150,6870,9568,3193,11008,13269,146,1934,20232,545,17190,4969,8504,15776
PPIP5K2,14325,12372,9965,14620,15947,11295,10807,19583,21566,2464,9111,7795,14581,17242,11886,3819,14160,11111,12691,12095,19316,10399,29412,17346,17396,13130,13589,6544,10431,16461,16910,12255,15873,12587,8681,12853,6663,13576,17676,8275,12835,13355,1534,22729,11399,13648,10109,10894,9288,12632,12048,12584,14251,16354,8004,19324,8751,11632,8166,14884,7276,11090,10159,7106,12461,12842
UTY,0,0,15,6617,0,9101,0,0,7153,2113,0,4959,8206,0,7081,19,7165,5,4,6378,9403,0,8795,10922,0,8027,0,6866,6813,0,0,0,0,0,6627,0,4122,6844,9090,7549,11139,10008,1417,10147,0,7217,21,6469,4,13314,0,7885,0,6924,0,0,0,84,0,8793,6819,6682,6935,0,6995,0
IER2,4677,18779,13841,11506,3095,8205,6355,8159,5126,12899,7731,8939,5210,6369,2810,2970,4914,3883,3783,25421,5931,2756,7702,6791,4071,13914,15711,6314,11301,2822,2254,3542,2246,1972,16767,4157,9900,6609,7157,21365,14454,5655,5982,5507,17727,5447,6168,13216,8572,13800,15692,6752,10150,2226,5645,4917,7231,2565,15169,12613,4350,7718,4129,13673,5672,6246
SMAD5,4846,1891,2972,2037,6509,5008,3084,3039,8888,1494,3360,4164,5016,8961,3150,1442,6185,4558,3804,4243,8253,2941,2229,6049,2299,5802,1221,728,4741,2423,5443,3926,4853,3719,2341,2425,2341,5042,5634,307,2475,3015,590,5653,1385,4844,3902,3337,3709,4382,2757,5039,6946,6837,3165,9453,2805,3766,1287,5766,2059,3774,1920,599,5053,1568
QSOX2,4989,3530,2638,3655,4304,3144,3442,3586,6553,1492,4630,2569,4349,3967,4194,848,4224,2151,4677,2978,3364,5087,6540,5073,3507,5530,4931,2770,5406,2686,3157,3301,5731,4096,3082,3619,1774,3062,2854,2288,4389,5555,671,3678,3916,4865,10524,3807,3112,3566,2862,3734,3767,4293,3575,6006,3790,3543,3992,4651,5320,2483,3980,3192,5601,5051
TTC7A,15239,15899,33574,12615,10376,2115,17006,19580,9729,2654,8878,9194,12942,9111,6100,3438,9442,3897,29714,7492,9307,6041,7859,21706,19654,12532,16476,5619,8943,10289,10878,14645,4227,18208,21997,8058,6771,7946,20211,19728,14037,7654,1296,10740,7094,7204,4184,6205,5016,7057,8220,7675,10517,4174,4980,11961,6930,4687,18135,8133,4466,7898,4014,4565,26797,19560
RNF125,4984,6661,4619,4879,7053,6297,8723,7791,3574,2364,4906,8110,4719,5634,5213,1179,5747,6863,9268,3340,8601,478,3957,10927,1059,640,7597,5314,4426,4567,5284,3674,2522,8672,3088,835,2294,4667,8090,5041,8786,888,750,10122,6297,581,513,3630,2264,7534,4833,6762,14783,4801,3249,5348,4620,3668,8569,2976,2867,955,3033,823,3710,6373
