miRNA,N58,N60,N70,N82,N83,N84,N85,V1048,V108,V1090,V125,V1279,V1297,V1321,V1337,V1394,V1441,V1456,V148,V1505,V1528,V1565,V1591,V1592,V1699,V1708,V1742,V1776,V1788,V18,V1800,V1823,V1834,V1857,V1860,V1874,V1884,V1920,V1921,V2089,V2092,V2110,V2133,V221,V344,V359,V406,V456,V513,V538,V553,V574,V624,V630,V637,V655,V67,V712,V714,V716,V777,V806,V839,V883,V888,V940
hsa-miR-873-5p,3.5839654882647083,1.9916128156895894,3.357102413685684,1.5338528156926907,0.0,0.0,0.0,1.9662461576980506,0.9851155672715253,0.0,1.7826743330421402,1.998729828002527,1.2150967772559467,1.9572127654353766,1.6981371663649056,0.0,0.8480789880445223,1.33877910507633,1.1206675910676218,1.127395674984214,1.4890920041716735,0.0,1.566000754280437,0.0,1.6168387160982243,0.0,1.8906355028960087,3.243914580489976,0.8384146476045077,3.03092151664809,0.0,2.006550757151338,1.2089709987056054,3.7541721238851427,0.0,3.0046258368885344,1.793796330067988,1.911769959341549,1.1963720086277176,0.0,2.106027980479166,2.330257877812677,2.9550173276149594,1.3314251794035306,0.0,2.4210029952426853,0.0,6.682177307757727,0.0,0.0,3.013880160191511,1.7546193342891816,0.0,1.0889489202260259,0.0,0.0,0.0,0.0,1.4430368777463642,2.026974544731107,1.1651815226214899,3.3014222429404545,0.0,1.5985125492219856,1.5049012596731575,0.0
hsa-miR-4433b-5p,1.5143534575113367,0.0,0.0,1.8781816017127628,1.1447372891828107,1.9481429943915807,2.2289196306102093,3.68231279191557,2.3493577142630135,2.173083031407992,2.349585544099798,1.5838335141819313,1.1504978219693038,1.503199464606073,0.0,0.7118570022165335,0.0,1.33877910507633,1.8256624598100537,3.6088369543774204,3.231157643072503,3.8961485014920516,2.7552641686063426,0.0,0.0,0.0,1.297570547995199,2.3108312250630165,1.5317692056978913,2.061801873051429,0.0,2.850789245523417,0.0,3.4157908506599517,2.139434014391376,1.1728637592677669,2.1350368704041394,2.078321248578945,2.0189672777456646,2.338182740154681,2.6714511064686874,3.770044022300996,3.4425232211147865,0.0,0.0,2.2227218336303314,1.4201565155042057,0.0,4.437376050888103,1.523289886613259,3.184024408518575,7.5917935099455915,1.5616463214575902,1.83852196061334,1.9546009075911897,5.538524297175223,0.0,1.1323865270751887,2.014775448754805,0.0,0.0,1.3349218795406228,0.0,1.5221991468257527,1.5558978518778137,3.0547256011850634
hsa-miR-6516-3p,1.934401684367115,0.0,0.0,1.1548115394397622,0.0,1.0700656592485491,0.0,2.530222698930276,1.109399120336527,1.8244109025179212,1.745653952129239,0.0,1.0119158991114447,0.8889501873968411,0.0,0.8200713039900641,0.9709441112296854,1.409700175609266,1.8256624598100537,1.3870417674378632,1.2749366610594262,2.1204100905823853,1.7454498037532171,0.0,1.2756495109677455,0.0,0.0,1.67849481060818,1.274143259255557,5.785358462816356,0.7230604868281082,2.5344645352284263,1.0870129074126704,3.570616887634711,1.4049097065630087,1.2356994521497857,1.2243076039169727,1.911769959341549,1.8412700160030937,1.6891274063513,1.4803851672901107,1.917847151006193,2.8549614189971653,0.7868372921406351,1.5773709106479978,1.176822515938189,1.017431017922464,0.9481519939340096,1.3679429122439084,1.5996332924463357,2.0119054374278202,2.52324714520277,1.3826402661209134,0.8521073232355137,1.6108643377956091,2.602043713814026,1.476341850823666,2.0419752770281314,1.4430368777463642,1.6604527604999901,1.1651815226214899,1.4119891420304767,2.2380466900939058,1.5221991468257527,1.2807166531582506,1.955840292398937
hsa-miR-615-3p,0.8013102487762448,1.7121056007980802,1.3683160819530769,2.419184415069229,1.9240051143406436,1.9886767178542746,3.024626692992941,3.3416811790031917,2.4230676857557776,1.4933631969087948,2.3246990452059744,1.6427046144906439,1.5516469144287983,1.2082080722702233,2.059754515187363,0.766978538557116,1.084161832827874,1.2641905799726687,2.407736401141592,2.625115906422466,2.394965649270906,2.416901118595812,2.6389716326932016,1.570574836031697,1.6763628002772641,1.0125739665518716,2.183077221211054,3.1396873088904287,1.0175723541537056,1.5268327932207393,1.3199439207882222,3.428246551093231,1.6576308487613363,4.080563171873934,1.8626772599819825,0.8899561308737064,1.091414033350827,2.362906521485445,2.0189672777456646,3.288004794926151,7.738933283873969,2.990314040507368,3.297586479479714,0.0,1.3521344098285182,2.7260061467049215,1.6937035281136197,1.5154093186841922,1.6006235609370667,2.149423951484771,2.7684021768218514,2.2995015934525354,2.391840279720006,1.194223986047424,3.1045189562961104,2.5626369718660733,1.365557586489121,1.6365879729145163,2.526094540255333,1.0569847764609357,0.8908725989486038,2.016224026889743,2.509921111834042,1.5221991468257527,2.346123226886266,3.333601468742904
hsa-miR-7844-5p,0.8013102487762448,0.0,0.0,1.4182284919436159,1.0826346660559574,0.0,1.9906117745210667,1.887455919903366,1.4755300515830443,1.8244109025179212,1.6686353193450714,0.0,0.0,0.0,0.0,0.0,1.084161832827874,1.33877910507633,2.208298777554343,0.0,0.0,1.5160642608218582,2.479040553141142,0.0,1.1965371843117112,0.9506290004604692,1.297570547995199,1.3452014594808281,0.0,1.082127421860343,0.8843119160401463,2.345808592089465,0.0,6.876146916565447,0.0,0.0,0.0,2.426072020487899,1.638570108874842,1.4335881811390325,2.3593257780314376,2.115800802918685,0.0,0.7868372921406351,0.8974105563462669,1.6149922021147216,0.0,0.0,1.235826568975869,0.0,3.47384987080638,1.9211724088722713,0.0,0.0,0.0,1.9799226351460677,0.8660429696973185,1.5488700937022972,1.511544477797832,0.0,0.0,2.403544500840446,1.656396878742503,1.3562778725383455,1.0862771609293642,3.0157470639357737
hsa-miR-892c-3p,0.0,0.0,1.1484037943972083,1.2253101767308054,1.469890551658945,1.627188883409829,2.2289196306102093,2.3655728756761474,1.8045497118048555,0.0,2.2206242359783155,1.3912691074412504,1.2769267546207115,0.0,1.8643194102996705,0.0,0.0,1.409700175609266,1.7437094455747428,2.005560851965553,1.2749366610594262,1.8496535759007695,1.9545243802337162,0.0,0.0,0.0,1.523441023212176,2.373448468557207,0.0,1.8189731960645068,0.8843119160401463,2.345808592089465,0.9537850860518639,7.07682412883181,1.5199177665600918,1.002645151276764,0.0,2.544666569803216,1.2684626806405217,1.567008252507539,1.249203605672129,2.3695730506865846,0.0,0.0,1.4000828263571996,1.2481702455837704,1.6081573686687707,0.0,1.4889690594397447,0.0,2.0119054374278202,2.237688974455853,1.5616463214575902,0.0,2.3529549589782275,1.7882399846459247,0.919310777660946,1.2483088426934532,2.2333672335882704,0.8728006270295618,0.0,0.0,1.9763382729318095,0.0,1.786904363198135,2.3181394220940255
hsa-miR-377-3p,1.755565274856843,1.549015204618756,1.4982649378635562,1.5338528156926907,1.469890551658945,1.405607613333874,1.5377409031951776,3.3996109212135734,2.781743940488526,4.222675961513067,1.745653952129239,1.246947128251047,4.981819747592707,1.8032101192738823,0.0,1.4782734042407477,3.9070629613431094,3.549127280053006,2.145858113171903,3.165011080639666,1.349909928879316,3.633268118658779,1.9050271240263874,2.220020107673817,1.1965371843117112,0.0,2.9187023244002512,1.0707115528460402,0.900638921241667,5.63813374499828,0.0,1.8013985927085316,0.9537850860518639,2.3872533856924805,2.816130878347189,5.069062037011473,0.0,4.3461719404804615,3.5173303321264027,0.0,2.5064358141659957,3.1112177297051944,5.768600481771596,2.7089737522560635,1.4464887889398446,3.1736334844407157,4.195360937189508,2.0884464919634924,4.399278861215209,0.0,0.0,8.333941956845408,2.2247115114255855,1.2923366967622236,2.3529549589782275,4.896892330835605,2.6816346207623627,1.3029544040675063,2.1498615443757294,3.3186226086699038,2.143128676446704,2.111724477465331,2.0463488712601907,3.1630499592235632,1.6051531843849192,3.6201381606470524
hsa-miR-6829-3p,0.0,1.7121056007980802,1.3683160819530769,1.2253101767308054,1.3694341371244982,1.4642742260023205,1.1306817881956952,2.630397470836631,0.9851155672715253,0.0,1.6285271598519586,1.3912691074412504,0.0,0.0,0.0,0.0,0.0,1.5418690121421723,1.6113293852351527,1.501213665526131,1.7326786831978425,2.2762587936697316,1.2856629984120362,0.0,1.5547526467709885,0.0,0.0,2.029033512343513,0.9602900257875113,0.8191529222760051,0.0,1.7259759118836129,0.9537850860518639,6.66032348563646,0.0,0.7245504881760227,0.0,0.0,1.1963720086277176,1.5018399993137936,1.854591423458554,1.7492337444732626,2.9550173276149594,0.0,1.4000828263571996,1.6149922021147216,0.0,1.0595626445011694,1.4889690594397447,0.0,2.1822694997982786,1.7546193342891816,1.8642605347162384,0.0,0.0,1.7182354480324145,1.1596196736916289,0.0,2.014775448754805,0.0,0.0,1.5547743545852937,1.563949100417845,0.0,1.5049012596731575,2.9756860972998034
hsa-miR-3175,1.7869535395225338,1.9266471910685816,1.727572670074852,6.674330949428821,7.495984137319767,5.694831062452643,7.697922024257263,4.032825391315154,2.102519467068777,3.1286069473434273,1.921929736859353,1.4583539688392642,0.0,0.8889501873968411,1.5102899817194686,1.0596659141704619,0.0,2.1917313377177963,2.6293024564111143,1.7524404732779295,2.767359856239224,2.4823940250544934,1.566000754280437,1.0229184627452028,2.4650893990952674,0.0,2.080231830691376,2.1768018067145696,1.3652268666726417,0.8191529222760051,0.0,2.986249766903617,1.2662898524367323,3.6422143595854823,1.0694785787344276,0.8503483915182425,0.0,2.296848313577246,1.976552464550953,1.9061421860568752,2.607691585807058,2.5515230737835064,3.4425232211147865,0.0,2.646759399700218,1.8162171131188383,1.651564424502197,1.16298307310082,1.8009369459889495,2.097712346434535,3.5063032291327043,2.237688974455853,2.1520335722225012,1.338999322830538,0.0,2.3476338778534203,1.0202860316953464,1.3556054500855388,3.856682753274324,1.1678854726091916,1.8946116684503207,3.059398787658988,0.0,1.8058622543052685,2.1608804677944407,3.395642682999822
hsa-miR-618,1.3134584430672471,2.6844387218431094,1.9708698782869205,1.921291216898923,1.9240051143406436,1.9481429943915807,2.3683986897519724,2.7240658541416947,1.1677436427934662,1.144240215974433,1.6285271598519586,1.5838335141819313,1.1504978219693038,0.8369767089479019,0.0,0.8200713039900641,1.731312295307262,1.477297603856241,1.245021983041874,1.7524404732779295,1.349909928879316,1.5772977466625404,2.0935760317498464,1.8956106491538136,1.6168387160982243,0.0,1.3574389376323588,1.6280229014808567,0.900638921241667,0.0,1.6239492793282373,4.159179750416655,1.5692919847913753,7.664681722474306,1.5199177665600918,1.2356994521497857,0.0,2.227619680386863,2.1771581718989963,2.410984799638009,2.3593257780314376,4.131967844958605,4.096487381552203,1.3314251794035306,1.1979153717908788,1.9927802192516804,1.4695029156589279,0.9481519939340096,1.3679429122439084,0.0,3.26211922503055,2.3294423189103646,1.5616463214575902,1.0889489202260259,0.0,2.3476338778534203,1.0202860316953464,1.7192767956738417,1.8657214992680684,1.319725279122254,0.8908725989486038,0.0,0.0,0.0,1.5049012596731575,4.808499966760531
