TE,N58,N60,N70,N82,N83,N84,N85,V1048,V108,V1090,V125,V1279,V1297,V1321,V1337,V1394,V1441,V1456,V148,V1505,V1528,V1565,V1591,V1592,V1699,V1708,V1742,V1776,V1788,V18,V1800,V1823,V1834,V1857,V1860,V1874,V1884,V1920,V1921,V2089,V2092,V2110,V2133,V221,V344,V359,V406,V456,V513,V538,V553,V574,V624,V630,V637,V655,V67,V712,V714,V716,V777,V806,V839,V883,V888,V940
LTR59,1.8421548082212928,3.1251281803571573,2.009740725886582,1.6653480341541742,2.8514794536152297,2.585998705199693,2.3452438189179508,2.9664920873726737,2.6023214116733233,2.2452490478215332,2.322355212792871,2.9076573616049015,3.537524609121775,1.8577171103577745,2.761904215773588,2.642155363460125,2.076368920339258,1.8993842999469466,2.6024434085490613,2.452551825834802,1.9873889622411636,1.1710335956110747,2.964272097097202,2.5729992266967634,2.3934041743260486,3.574906116010363,2.0712282711801184,2.4700237195890833,1.6878287152350768,1.8105659875597162,1.3297147325870462,2.0588288089940296,3.2991552738470107,4.371788210985997,2.6348884246369026,2.405406332411817,2.49638904003308,2.465991329383716,2.495749868037777,0.8917674410871173,3.683967867148889,2.6102511336976555,4.9082919022839615,3.532817099120656,2.2570557743137654,2.1100359506376862,2.826357624455237,2.9794862598643617,2.345662065678868,3.033662454941817,2.1383029433515937,4.02897512412357,2.166516323534057,2.4800109116734803,1.9012398382490863,3.951084381040589,2.5529576743032543,2.6295996958383925,2.1111494174104597,3.6210980545368594,1.9337062283173503,2.5729874009227474,3.052912385198574,2.6458242637800855,1.8732522738265718,3.2824531271259456
L1P4c_5end,1.8228934691838103,1.1401798016787479,2.271226160671157,1.9554108183085563,2.0613523241972627,0.8019294124114144,0.9212981466367004,1.457153706895807,2.8242932582114464,2.9057252291368174,2.892948279998794,2.0282328384294708,2.8521453764424485,2.1613693724434198,2.0722718676451657,1.2980838013977718,1.4904737404473842,1.1585983088089478,1.960795087534281,1.5041533404074963,0.5793712001003949,1.86523710370214,1.9153788332047135,2.1533260872167888,2.1471497856307606,2.5867668128338233,1.855148724166256,1.7151015033389332,2.3872847785493443,1.6551419595030112,1.6170928041225596,2.0598884362645085,3.109086852509659,3.8262420514608646,2.29105774433657,1.9732114514105572,1.3476493415406336,2.250249283248198,2.3436500586640845,1.0980132885101714,3.922195019564815,2.26467630988056,3.735522205605987,1.8702317831618664,2.1325969047784423,1.490386603203467,3.4346288994602454,2.3311181210128993,1.9138342673990643,2.571255516291372,3.0529507338519095,2.7920299447692414,2.0780745143285797,2.2063348092519455,1.2513000004847297,3.4245778845389734,1.9343736492951338,3.12186691958378,1.3259898943274757,2.9349021364677106,2.7668681558111015,2.856885738360738,1.9838292761361576,1.4503245426226488,2.085567087917228,1.8974102460225843
HERVH,10.6811224506329,11.556131092682774,10.468739061966739,11.286219199252463,11.19548998786772,10.782663081711407,10.745675789743187,10.666634644947894,11.777877023067731,11.110429434336345,11.552644571589376,11.420378069545476,11.958579474234982,11.028099333838473,11.000799490171842,10.300554942928347,10.341216087940309,10.690366210981871,10.844381054849201,10.630768691599258,10.48077476880218,10.368049914522727,11.213681464834405,11.1299664361667,10.999967255966993,11.185799355334527,10.580550930485668,11.086568912856249,10.019054384597252,9.934434136609964,10.340543754506758,10.096234084459553,12.408600206398315,13.49607552971166,10.852162637216821,10.595488326773987,10.689775064622681,11.742512796102556,10.879616722640751,9.634548965890367,12.14652191333039,11.05317153755758,13.57661676221105,10.981872013877235,10.543088883915503,10.832344199379351,11.364321412166698,11.292244589612416,10.93834398289212,11.534516001503453,11.162062804827757,11.022930083967932,10.689283980180907,10.656872566906664,10.34915939917451,11.972122300563603,10.142685742582183,11.860842734211847,11.334032240067836,11.806612534543493,11.140506736293304,10.71547193252452,11.344977337385243,10.99392347466626,10.749554002835957,11.0255123996524
LTR7A,8.363968276458827,9.115029591247009,8.17860019826625,8.393485371303369,8.543285926835349,8.16711375734883,8.07759494488701,8.116747341967212,8.884662683840363,8.572364425464954,8.848986797827457,8.858257598808516,8.920105243006924,8.655321098107164,8.38940097112595,7.749148958306748,7.966364414262677,8.016637415104606,8.44788314545426,7.934975957169208,7.865065310253609,8.179874830831588,8.33610097046606,8.517810864946465,8.275419750503579,8.682483987532263,8.124087219277271,8.350160646475114,7.499133985205687,7.328345377048599,8.036389532327123,7.643255142293932,9.345254823263641,10.49598357559811,8.185138988423121,8.079341805613897,7.895233353989864,9.008309660972142,8.224695316856925,7.54230051389432,9.5253628527967,8.388696036906431,11.136123026742306,8.315129923124374,8.027910366872307,8.33354068936531,8.419696227596317,8.62098804931333,8.255148384695211,8.807107318691147,8.659624817944302,8.461052581617663,8.148508982594509,8.040764764982201,7.087032417283361,9.4879081134915,7.940896721795351,9.13807617615829,8.639197003553935,9.090487690607516,8.591586578764591,8.021303675003615,8.57958377151634,8.283186785315436,8.329475144749075,8.194795730133732
MER92B,1.8228934691838103,2.4859849374490026,1.050782416444192,1.8633074051335625,1.4290423711958022,1.688913595308096,1.7857321649952393,1.9042652575011516,1.8986848645434309,2.133611127012198,2.2573423196404683,2.1239848080199772,1.8324762637853738,1.75250176803731,2.2287366338184427,1.5240052774656263,1.003926901778689,1.5713597591373676,1.239581935238987,1.8535598497771508,0.991604901912377,1.718456312693608,2.178926076108998,1.6856742286339017,2.0855709904033954,2.249636917997845,1.4208705033542413,2.534256017781991,1.7445720733066803,1.2827528451597339,1.4710295480247009,0.7850433555614539,2.5595402078268985,3.318736663691043,1.6737636680253685,1.5917834733312486,1.763247849105461,1.6475627504914814,1.9549675775754878,1.6501301796579102,1.912564680531113,1.4638285038020789,3.8552282688243342,0.8396532657072007,0.7048940347960242,1.0605908246087956,0.8737252301226272,2.25699699745765,1.9138342673990643,2.214872450740013,2.168524055054805,2.4746928749997528,1.50351187025161,1.4259996567548334,0.9349166901439149,2.9739446947453096,1.2696680091865329,2.458030988763025,2.8691847775124395,2.6420494125292766,1.1755457002393188,1.439759843161111,2.078640474282224,0.9928492857130714,1.5129619413521878,1.0868175663203774
LTR1C3,2.4891227365483215,2.5366151934389896,1.5044269363491534,2.3711489982391476,1.8233494378874868,2.9733351238094063,2.323574772002195,1.3197804464658653,2.1249767956597556,1.9348765117901627,2.0205476636619184,1.6956858116043716,3.098175397823288,2.215761494838617,2.564697939055803,0.7007011805794975,1.9317827075958613,1.8919204990841523,3.2231087080486316,1.5006673219411084,1.4884205440953304,1.9333825020980955,1.5926811407389037,1.5707465845917006,2.173856399565702,2.645674927289656,1.5985906357855286,2.534256017781991,1.8735829142250953,1.3852412525733728,1.0241645633522103,1.664224454942978,2.8853326084434587,3.8787003768407176,2.93412118619717,2.1233447139703214,1.7179769511167746,2.4950766143474223,2.473881498996522,1.5830592682757114,3.0454345336856203,2.1244077314250243,4.213826508822967,1.5071332521895902,2.2570557743137654,1.8547921979279296,1.8895755077656586,2.178860537963408,2.2377754684154496,1.4963102750275588,2.626097023416243,1.4974313773797112,1.7321325266934262,2.279772640104843,1.24346822990385,3.235046147091412,2.6194578923882164,2.617476613797731,3.5888980053393653,2.8594379447386444,2.007582781350393,2.6672939814714973,1.7731807955756047,1.9892605935653356,1.3476437948393991,1.9717842542369473
LTR62,3.822825871479194,4.701093002937022,3.55047353189726,3.5599185666360755,3.7755872790697342,2.793070857991533,2.809119147077966,3.126111554023309,4.00072319837257,3.7766875756466702,3.905934906835341,4.083645014264292,4.588163300347831,3.486295706151254,3.884175046936489,3.0880625965193844,3.4925714213050396,3.1912259656737016,3.6714316134858245,3.0564002132324846,3.1549664405064215,3.618002065420942,3.367990552720179,3.9572698837109916,3.346111967742782,4.268839062020393,3.2993681593706383,3.503643347504907,3.0373108108858116,3.2894354845576412,2.8778170630371145,1.769974946377262,4.659934878291425,5.750643288078326,3.579215320867152,3.5809045953307668,3.3795398762114854,4.131840717641649,3.468551057837421,2.6820869888451027,4.641627336878935,3.5298663586578694,6.064875428073717,4.240165686253813,2.9873707672373735,3.7534476854982843,4.0355520315099245,3.6830067819549472,3.3304452239363345,3.886462881558944,3.7338560338963362,4.177466215705844,3.4717419584317843,3.0825369748767026,3.577895588967173,4.741973227667685,2.4422169625969095,4.854550259870992,4.824170130578168,5.236310583670466,3.940178648025681,2.9329934675114293,3.824262055501103,3.1165917185246634,3.5242815886039582,4.194588751121471
ERV3-16A3_I,2.8991969675642526,3.2332679043690775,2.316269049641854,2.2009529191015744,1.6396253308899467,1.8459227149177093,1.6894756546333838,1.457153706895807,2.8080161462014126,2.6700613632767807,2.929208403237355,2.3781517881079575,3.0563251168785763,2.772398153251143,2.5034748404496825,1.8912673746670607,1.4904737404473842,1.4464499738717589,3.085281077699105,0.8352550685050493,1.7953469162114597,1.7937126010449618,2.0086805728614254,2.4419651828128974,1.6396641807710792,2.323660277825052,1.7823903696640857,1.3297032306807002,2.047749830779569,1.8824189507329627,2.5174917568366406,1.140935786706044,2.297531341502362,3.202945580833217,2.4916737575312866,2.195609315890698,2.3027606180278313,3.0197250684460903,1.6589216745038728,1.6501301796579102,2.757013331944959,1.9119563073242485,3.284694157883111,2.381645120228858,2.0531546790962425,2.316497285168109,3.344298881759846,2.468829830144797,2.7084486870871616,2.6923396614448385,3.1874299966995383,2.2853181789065444,2.5962509814142467,2.4163036227759,0.0,2.753796953335948,2.0085233296997402,3.535376501203601,2.8086344754251815,4.301738563925129,2.4005003085662437,2.2140031386665315,2.8438844344991434,2.0765120570211972,1.7957413083849048,2.269562594167576
LTR30,4.532874833443524,4.808010072957777,4.545450796571818,4.919451895677372,5.248965801830691,4.920507049089964,5.435711813975318,5.22533311216943,5.2625111699315275,5.4286123925669205,4.75966633521739,5.729659336889427,5.736803614528079,5.240970484829415,5.289148791557746,4.6421021684869945,4.9048210669205785,4.9801910366300675,4.47705087396537,5.242454085735141,5.553372819940692,4.96038983242294,5.377605532843881,5.478944988775603,4.729675520859601,5.151851084646605,4.76710036693651,5.422023280451304,4.696000331145329,4.2137043247993695,5.256109690711781,4.235539782267189,6.04028792770722,7.184042054514307,4.833012542186145,5.343867639579629,4.610760034241923,5.57203192075264,4.974942854800106,4.022854819650923,6.383402500015387,5.364287409297133,7.677648447987567,5.1596000835294875,4.513545347482439,4.964446262106872,6.13110020666714,6.305953514539642,4.764519607347528,5.245814910662414,4.493973595756674,5.431824420873741,4.373627078536804,4.843737784124536,4.544647089443975,6.535012060933525,4.31821055025825,4.932456032940227,5.668219924856791,5.7841574537248235,5.6319489581325115,4.749826544296745,5.3106700888259635,4.8190584401163,4.387500579927901,5.070279537999934
LTR44,1.8228934691838103,3.0362204820122294,2.2247315246035293,2.2009529191015744,2.4994933111656867,2.0534111363684278,2.189233539787745,1.8047978350184195,2.185026297516881,2.308254728484909,2.892948279998794,2.1239848080199772,2.5253250862758008,2.772398153251143,2.302479604437012,2.116000094919985,1.4904737404473842,2.9821199641203475,2.7981939933793223,2.4445726945611437,2.074603422951245,1.4658101401499712,2.867954191382557,2.0711444841270485,1.5728269820093401,3.001894468510494,1.7169730450613454,2.33228565871059,1.7445720733066803,1.4809293509831134,1.928267172410304,1.2905943820221555,2.6965773361521297,3.0325104023746445,1.6737636680253685,1.5917834733312486,2.3027606180278313,2.187471666446001,2.3436500586640845,1.1910393911222878,2.897462713035888,1.4638285038020789,4.208707021181743,1.7522604455238304,3.0618264610827164,1.7452525341805354,1.5224945191117527,2.008617361373668,2.5928504527803478,2.293540290371172,2.9206341709853625,2.588406042076869,2.421933234060008,2.655814223888482,0.9349166901439149,3.8790814240697937,1.6858868774717564,2.891603319136854,3.4476120510547847,3.3989320540144465,1.9143053029749697,2.341359012507484,2.167603233001627,2.0765120570211972,1.6612689297211891,1.8866357624475976
