GENE_NAME,V888,V108,V2089,V1279,V1090,V777,N85,V839,V1565,V637,V1505,V1834,V67,V1441,V1920,V1857,V630,V456,N84,N60,V1394,V1048,V18,N83,V538,V1742,V1884,V1297,V125,V1921,V1776,V1860,V940,N82,V148,V1456,V2092,V714,V1337,V553,V406,V1788,V2133,V1874,V221,N58,V1591,V2110,V574,V716,N70,V1321,V1800,V806,V513,V1592,V1528,V1823,V344,V1708,V359,V712,V883,V655,V1699,V624
MIR7160,0,0,0,0,0,0,0,2,0,3,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,2,0,1,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
MIR4321,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MIR1208,0,0,0,0,1,0,0,0,2,0,0,2,0,1,0,8,0,0,2,3,0,0,0,2,0,1,0,1,0,2,1,0,0,3,0,0,2,8,0,0,1,0,2,2,5,0,0,0,0,7,2,2,0,0,1,2,0,0,0,0,0,0,0,4,0,0
MIR1234,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MIR3181,43,11,27,23,42,46,95,18,8,50,15,39,20,33,46,4,26,18,42,39,15,24,16,52,40,28,47,35,11,27,37,40,6,55,27,10,24,36,31,76,60,30,33,44,21,21,6,63,39,20,82,17,50,7,19,24,42,9,28,29,28,31,27,17,37,22
MIR301B,2,0,2,2,2,0,0,2,0,0,0,7,3,2,10,9,0,0,0,3,0,0,0,1,0,0,5,4,5,0,3,6,0,4,4,0,2,0,1,3,0,2,4,0,7,5,0,0,1,0,5,0,2,3,5,3,0,1,0,1,4,1,3,0,5,0
MIR6723,7,4,18,7,2,3,5,7,11,2,2,3,12,6,8,2,5,3,8,9,4,2,4,7,7,14,6,2,12,5,3,5,0,3,8,4,15,4,2,9,7,4,2,4,1,5,6,6,3,1,8,7,10,1,6,1,7,1,8,5,21,2,0,8,4,4
MIR29B2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
MIR3660,0,0,1,0,0,2,0,0,0,0,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
MIR1537,13,22,6,10,9,2,6,21,11,21,9,38,7,28,8,11,21,4,12,9,16,10,9,11,34,14,27,17,16,25,22,16,6,22,8,25,5,12,30,50,48,52,0,6,18,15,12,12,12,19,12,19,9,12,21,8,12,10,31,34,7,23,2,7,12,15
MIR487A,0,1,0,0,3,3,0,3,0,0,0,0,0,0,4,4,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,6,2,0,2,0,0,0,0,7,0,4,0,0,0,0,0,1,3,0,0,0,1,0,2,0,0,0,0,0,2,0,5,1,0
MIR6843,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,2,1
MIR7110,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
